GEN,REP,LN,RL,SL,PH,LA,SDW,RDW,LDW,TDW,SPAD
R1,1,5,19,10,29,42.63,0.02,0.031,0.126,0.177,42.6
R1,2,7,21,9,30,45.34,0.062,0.111,0.303,0.476,53.1
R1,3,6,14.5,10,24.5,45.48,0.03,0.031,0.0125,0.0735,50.7
R1,4,7,16,8,24,70.81,0.032,0.085,0.184,0.301,46.8
R2,1,6,17.5,11,28.5,35.58,0.028,0.027,0.102,0.157,56.3
R2,2,5,15,10,25,49.6,0.047,0.056,0.154,0.257,46.2
R2,3,6,15,8,23,46.69,0.021,0.034,0.109,0.164,35.9
R2,4,5,12,7,19,54.55,0.025,0.035,0.128,0.188,42.1
R3,1,4,15,8,23,26.4,0.014,0.012,0.062,0.088,44.2
R3,2,6,14,11,25,43.96,0.024,0.061,0.122,0.207,44.7
R3,3,6,13,9,22,112.63,0.045,0.074,0.152,0.271,37.3
R3,4,9,13,10,23,44.06,0.058,0.05,0.1,0.208,34.8
R4,1,10,15,9,24,78.92,0.037,0.063,0.105,0.205,36.5
R4,2,6,14,6,20,40.04,0.018,0.019,0.088,0.125,38.1
R4,3,5,9,7,16,30.12,0.013,0.01,0.056,0.079,37.9
R4,4,6,18,7,25,71.92,0.028,0.071,0.189,0.288,36.1
R5,1,6,17,9,26,47.45,0.031,0.05,0.109,0.19,45
R5,2,6,13,8,21,60.32,0.061,0.06,0.187,0.308,37.5
R5,3,4,7,18,25,25.38,0.014,0.055,0.018,0.087,52.7
R5,4,5,12,6,18,34.92,0.011,0.039,0.122,0.172,45.1
R6,1,5,14,6,20,80.88,0.04,0.041,0.143,0.224,32.2
R6,2,7,14,8,22,111.76,0.06,0.08,0.261,0.401,46.2
R6,3,5,13,7,20,51.16,0.028,0.05,0.028,0.106,44.5
R6,4,3,14,10,24,37.5,0.026,0.014,0.077,0.117,39.6
R7,1,8,18,13,31,143.05,0.061,0.072,0.32,0.453,37.3
R7,2,6,17,13,30,105.35,0.047,0.046,0.204,0.297,46.4
R7,3,7,15,14,29,89.33,0.078,0.065,0.201,0.344,40.4
R7,4,7,12,11,23,61.83,0.033,0.036,0.109,0.178,48.8
R8,1,6,20,13,33,64.34,0.039,0.03,0.137,0.206,35.5
R8,2,5,13,7,20,82.48,0.028,0.059,0.161,0.248,41.9
R8,3,7,23,10,33,70.8,0.0109,0.158,0.331,0.4999,44
R8,4,7,13,15,28,80.83,0.6,0.066,0.163,0.829,40
R9,1,5,18,7,25,48.81,0.032,0.012,0.112,0.156,59.1
R9,2,5,14,10,24,30.42,0.016,0.013,0.064,0.093,34.8
R9,3,4,15,9,24,52.09,0.018,0.033,0.079,0.13,48.2
R9,4,4,12,9,21,24.15,0.011,0.018,0.051,0.08,47
R10,1,6,19,8,27,81.35,0.098,0.052,0.144,0.294,43.9
R10,2,6,19,14,33,11.09,0.099,0.063,0.214,0.376,41
R10,3,5,21,17,38,102.2,0.055,0.056,0.221,0.332,38.7
R10,4,4,18,11,29,54.35,0.024,0.035,0.116,0.175,38.2
R11,1,5,16,13,29,114.98,0.071,0.097,0.259,0.427,43.3
R11,2,5,11,6,17,44.72,0.031,0.034,0.101,0.166,37.6
R11,3,4,11,6,17,42.39,0.015,0.032,0.099,0.146,34.3
R11,4,5,10,6,16,19.44,0.011,0.007,0.045,0.063,40.6
R12,1,6,11,12,23,46.12,0.039,0.018,0.112,0.169,35.3
R12,2,8,20,12,32,62.61,0.042,0.032,0.121,0.195,38.8
R12,3,6,14,12,26,46.23,0.044,0.024,0.121,0.189,52.4
R12,4,5,10,12,22,37.87,0.031,0.016,0.077,0.124,42.6
R13,1,8,17,11,28,171.44,0.13,0.117,0.33,0.577,38.5
R13,2,8,14,10,24,92.45,0.064,0.075,0.236,0.375,49.2
R13,3,7,14,8,22,35.72,0.019,0.035,0.094,0.148,43.6
R13,4,7,11,8,19,39.11,0.041,0.017,0.098,0.156,36.8
R14,1,5,14,9,23,29.54,0.016,0.025,0.081,0.122,53.6
R14,2,6,14,15,29,78,0.059,0.08,0.222,0.361,36.5
R14,3,7,12,9,21,26.33,0.016,0.032,0.076,0.124,39.3
R14,4,5,21.32,10,31.32,0.01,0.12,0.06,0.011,0.191,44
R15,1,8,14,8,22,45.47,0.032,0.042,0.102,0.176,38.2
R15,2,7,10,14,24,27.62,0.024,0.022,0.079,0.125,37.5
R15,3,7,14.5,6,20.5,67.45,0.036,0.077,0.199,0.312,45.3
R15,4,4,13,7,20,24.99,0.017,0.022,0.072,0.111,42.9
R16,1,5,12,9,21,24.36,0.015,0.019,0.062,0.096,33.5
